# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:12:00 2026,,,,,,,,
24,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225612.990992_ir.tif,1375,280.294,67.405,291.403,77.017,0.53125,0,hotspot,0.53125
25,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225614.076458_ir.tif,1376,284.624,485.246,294.954,495.158,0.70407,0,hotspot,0.70407
26,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225634.628643_ir.tif,1395,296.464,325.725,305.209,336.419,0.65795,0,hotspot,0.65795
27,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225636.780837_ir.tif,1397,201.728,172.309,212.090,181.744,0.58309,0,hotspot,0.58309
28,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225747.614950_ir.tif,1463,351.020,207.095,362.410,218.702,0.15071,0,hotspot,0.15071
29,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225748.683716_ir.tif,1464,34.482,26.683,44.607,40.451,0.40039,0,hotspot,0.40039
30,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225748.683716_ir.tif,1464,515.360,331.980,526.320,343.299,0.35333,0,hotspot,0.35333
31,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225908.595386_ir.tif,1537,122.780,30.936,133.071,40.243,0.56833,0,hotspot,0.56833
32,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_225909.712352_ir.tif,1538,137.260,470.339,147.576,480.311,0.65884,0,hotspot,0.65884
33,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230059.540608_ir.tif,1636,277.321,29.072,287.442,38.768,0.66815,0,hotspot,0.66815
34,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230100.662072_ir.tif,1637,288.199,448.974,298.513,458.816,0.62876,0,hotspot,0.62876
35,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230127.436316_ir.tif,1661,404.629,148.013,415.706,157.055,0.14687,0,hotspot,0.14687
36,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230226.380302_ir.tif,1714,350.738,348.487,360.496,358.448,0.65400,0,hotspot,0.65400
