# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 19:57:33 2026,,,,,,,,
24,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230056.164747_ir.tif,1633,277.493,266.170,285.796,275.131,0.56890,0,hotspot,0.56890
25,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230059.540608_ir.tif,1636,493.039,3.809,503.042,13.411,0.53363,0,hotspot,0.53363
26,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230100.662072_ir.tif,1637,511.103,485.256,520.933,494.947,0.58483,0,hotspot,0.58483
27,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230111.846740_ir.tif,1647,567.668,59.850,576.758,69.997,0.60484,0,hotspot,0.60484
28,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230112.962948_ir.tif,1648,314.522,236.986,323.542,247.235,0.57842,0,hotspot,0.57842
29,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230144.111079_ir.tif,1676,529.838,328.428,539.412,339.006,0.60899,0,hotspot,0.60899
30,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230211.884232_ir.tif,1701,376.009,247.282,386.463,256.887,0.59360,0,hotspot,0.59360
31,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230218.572036_ir.tif,1707,537.472,418.526,548.287,430.929,0.65173,0,hotspot,0.65173
32,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230308.725285_ir.tif,1752,537.449,149.277,550.230,158.299,0.55166,0,hotspot,0.55166
33,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230308.725285_ir.tif,1752,535.482,147.559,549.404,157.709,0.12369,0,hotspot,0.12369
34,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230405.746752_ir.tif,1803,123.524,374.220,133.284,382.240,0.40515,0,hotspot,0.40515
35,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230405.746752_ir.tif,1803,130.832,366.953,140.172,375.599,0.37889,0,hotspot,0.37889
36,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230416.950560_ir.tif,1813,294.849,281.628,303.612,292.582,0.65969,0,hotspot,0.65969
37,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230509.658405_ir.tif,1860,101.753,364.340,111.152,373.780,0.20227,0,hotspot,0.20227
38,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230701.441154_ir.tif,1957,435.420,238.350,443.777,248.878,0.21625,0,hotspot,0.21625
39,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230704.816355_ir.tif,1960,497.077,290.256,508.019,298.711,0.63615,0,hotspot,0.63615
40,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230713.818053_ir.tif,1968,158.222,404.501,168.581,414.107,0.60551,0,hotspot,0.60551
41,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230738.427222_ir.tif,1990,77.965,117.855,86.708,126.144,0.51443,0,hotspot,0.51443
42,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230807.492943_ir.tif,2016,475.048,9.303,485.269,18.338,0.41645,0,hotspot,0.41645
43,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230807.492943_ir.tif,2016,475.867,15.306,485.730,24.519,0.39564,0,hotspot,0.39564
44,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_230808.610789_ir.tif,2017,458.735,494.286,467.469,506.540,0.26819,0,hotspot,0.26819
45,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231019.559158_ir.tif,2133,226.957,80.819,234.674,88.940,0.12555,0,hotspot,0.12555
46,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231126.626775_ir.tif,2192,564.891,314.006,572.623,323.506,0.52601,0,hotspot,0.52601
47,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231126.626775_ir.tif,2192,538.023,303.008,544.653,309.373,0.46388,0,hotspot,0.46388
48,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231158.490930_ir.tif,2220,472.496,181.439,481.071,194.473,0.35010,0,hotspot,0.35010
49,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231213.296320_ir.tif,2233,436.939,357.314,445.559,368.974,0.39026,0,hotspot,0.39026
50,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231214.431986_ir.tif,2234,99.228,295.820,109.872,305.924,0.44976,0,hotspot,0.44976
51,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231236.053040_ir.tif,2253,196.368,341.769,209.084,351.960,0.73261,0,hotspot,0.73261
52,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231322.826452_ir.tif,2294,311.357,252.374,321.772,261.558,0.10976,0,hotspot,0.10976
53,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231323.970577_ir.tif,2295,604.675,250.463,614.156,260.062,0.62455,0,hotspot,0.62455
54,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231334.256542_ir.tif,2304,351.924,186.010,358.977,196.839,0.19366,0,hotspot,0.19366
55,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231404.040004_ir.tif,2330,562.779,177.519,571.282,186.232,0.16606,0,hotspot,0.16606
56,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231446.288764_ir.tif,2367,71.886,182.249,84.113,190.620,0.69303,0,hotspot,0.69303
57,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231457.673914_ir.tif,2377,440.749,197.951,451.873,207.489,0.14984,0,hotspot,0.14984
58,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231524.949984_ir.tif,2401,457.342,96.809,466.431,108.430,0.13294,0,hotspot,0.13294
59,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231618.561274_ir.tif,2448,610.464,324.094,620.936,333.410,0.58371,0,hotspot,0.58371
60,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231636.813251_ir.tif,2464,267.304,65.424,275.874,76.255,0.47597,0,hotspot,0.47597
61,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231729.375533_ir.tif,2510,314.828,224.814,321.417,232.095,0.10800,0,hotspot,0.10800
62,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231813.866852_ir.tif,2549,9.200,192.312,21.965,201.578,0.24699,0,hotspot,0.24699
63,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_231847.044251_ir.tif,2578,199.156,61.101,207.966,69.945,0.32799,0,hotspot,0.32799
64,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232004.600816_ir.tif,2646,64.352,423.605,74.235,436.834,0.10969,0,hotspot,0.10969
65,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232008.024231_ir.tif,2649,531.048,245.913,539.760,260.084,0.15668,0,hotspot,0.15668
66,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232017.151293_ir.tif,2657,182.927,259.768,192.316,268.846,0.15503,0,hotspot,0.15503
67,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232033.081250_ir.tif,2671,290.087,366.287,299.308,376.563,0.15795,0,hotspot,0.15795
68,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232349.333503_ir.tif,2783,23.982,239.490,32.870,247.892,0.13263,0,hotspot,0.13263
69,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232433.954978_ir.tif,2823,558.492,256.666,570.582,266.900,0.24861,0,hotspot,0.24861
70,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232440.600759_ir.tif,2829,0.144,335.859,6.170,349.959,0.52106,0,hotspot,0.52106
71,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232446.133553_ir.tif,2834,204.668,98.590,214.783,112.701,0.23230,0,hotspot,0.23230
72,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_232504.949790_ir.tif,2851,517.061,113.339,526.857,124.051,0.13098,0,hotspot,0.13098
