# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:04:34 2026,,,,,,,,
24,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225710.015677_ir.tif,1428,320.807,39.987,332.562,49.076,0.67889,0,hotspot,0.67889
25,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225711.088685_ir.tif,1429,325.704,458.833,339.132,469.052,0.63986,0,hotspot,0.63986
26,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225741.184947_ir.tif,1457,345.947,20.335,354.549,31.090,0.69921,0,hotspot,0.69921
27,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225742.258897_ir.tif,1458,351.422,443.831,359.412,453.807,0.66556,0,hotspot,0.66556
28,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225913.061676_ir.tif,1541,78.990,15.014,87.742,27.852,0.62001,0,hotspot,0.62001
29,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225914.177062_ir.tif,1542,85.907,399.307,94.879,409.194,0.68238,0,hotspot,0.68238
30,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225927.586724_ir.tif,1554,566.843,211.588,574.111,223.409,0.67685,0,hotspot,0.67685
31,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230005.619718_ir.tif,1588,56.502,258.973,67.592,266.850,0.10006,0,hotspot,0.10006
32,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230116.308309_ir.tif,1651,422.446,250.705,432.439,261.007,0.55681,0,hotspot,0.55681
33,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230127.436316_ir.tif,1661,457.308,15.864,467.723,27.531,0.15000,0,hotspot,0.15000
